Id;Nombre;Apellido1;Apellido2;Sexo;Usuario;Contrase�a;Correo;Nacimiento;Edad;Ingresos;Divorcio;NumeroLikesRecibidos;NumeroLikesOtorgados;NumeroMatches;Estado;Estatura
402;Cristina;Benavente;Montes;M;benavente39;892256;benavente39@correo.net;11/05/1955;64;No aplica;SI;28;80;0;Inactivo;
403;José;López;Ventura;H;lopez26;894478;lopez26@mail.es;3/01/1944;75;725,89;No aplica;23;52;0;Inactivo;
404;Javier;Cortes;Jiménez;H;cortes76;896700;cortes76@correo.com;4/04/1956;63;952,4;No aplica;27;45;2;Disponible;
405;José;Mayo;Hernández;H;may-74;898922;mayo74@mail.com;22/08/1956;63;691,12;No aplica;76;86;9;Disponible;
406;Josefa;Parada;Nieves;M;jparada26;901144;jparada26@correo.net;26/01/1976;43;No aplica;SI;41;60;3;Disponible;
407;Antonio;Baños;Rodríguez;H;antoniobaños36;903366;antoniobaños36@email.es;27/05/1995;24;793,66;No aplica;24;51;4;Inactivo;
408;Jaime;Jiménez;Martin;H;jimenez37;905588;jimenez37@correo.com;7/11/1997;21;312,22;No aplica;18;16;0;Disponible;
409;Pablo;Sánchez;Arrieta;H;psanchez;907810;psanchez@email.com;16/05/1961;58;925,95;No aplica;57;77;6;Inactivo;
410;Dolores;Egea;Macho;M;dolegea22;910032;dolegea22@correo.net;24/01/1950;69;No aplica;SI;79;81;13;Disponible;
411;Salvador;Alonso;Pérez;H;sal.alonso;912254;sal.alonso@email.net;21/06/1998;21;957,85;No aplica;36;96;0;Disponible;
412;María Teresa;García;Martin;M;margarcia;914476;margarcia@correo.com;8/07/1962;57;No aplica;NO;58;10;1;Inactivo;
413;María Carmen;López;Jurado;M;mlopez32;916698;mlopez32@email.com;17/11/1996;22;No aplica;SI;13;3;0;Disponible;
414;Ana María;Ortiz;Sánchez;M;anortiz;918920;anortiz@correo.es;2/11/1992;26;No aplica;NO;19;39;1;Inactivo;
415;Juana;Fernández;Lozano;M;juafernandez52;921142;juafernandez52@mail.com;4/12/1977;41;No aplica;NO;46;85;6;Inactivo;
416;Javier;García;Alcaraz;H;javgarcia92;923364;javgarcia92@email.com;13/04/1969;50;160,08;No aplica;13;9;1;Disponible;
417;Susana;Otero;Riveiro;M;sus.otero;925586;sus.otero@mail.es;2/04/1995;24;No aplica;SI;69;40;5;Inactivo;
418;Aitor;Serrano;Blanco;H;ait.serrano;927808;ait.serrano@mail.es;23/10/1961;58;638,65;No aplica;40;52;2;Disponible;
419;Carlos;Pinedo;Abella;H;cpinedo;930030;cpinedo@mail.net;25/01/1966;53;347,88;No aplica;98;24;3;Inactivo;
420;Marta;García;Ojeda;M;mgarcia6;932252;mgarcia6@mail.com;8/07/1987;32;No aplica;NO;41;62;3;Inactivo;
421;Cristina;Moreno;Santana;M;cmoreno36;934474;cmoreno36@correo.es;30/10/1957;62;No aplica;NO;92;78;1;Inactivo;
422;Francisca;Coll;Blanco;M;fra.coll;936696;fra.coll@mail.es;10/10/1952;67;No aplica;NO;13;23;1;Inactivo;
423;Jorge;Míguez;Bueno;H;jorge.miguez;938918;jorge.miguez@email.es;16/09/1992;27;811,23;No aplica;61;32;4;Disponible;
424;Santiago;Quirós;Vivas;H;squiros;941140;squiros@email.com;6/11/1937;81;617,15;No aplica;10;78;1;Inactivo;
425;Lucia;Gracia;Caballero;M;gracia70;943362;gracia70@email.com;2/07/1980;39;No aplica;NO;59;23;3;Disponible;
426;Alberto;Montoro;Carmona;H;montoro7;945584;montoro7@email.net;13/08/1948;71;693,48;No aplica;25;43;4;Inactivo;
427;Ana;Boix;Mesa;M;ana.boix;947806;ana.boix@email.com;10/10/1981;38;No aplica;NO;17;92;1;Disponible;
428;Cristina;Prado;Catalán;M;prado15;950028;prado15@mail.es;22/04/1955;64;No aplica;NO;25;58;2;Disponible;
429;María Dolores;Martínez;Rodríguez;M;mariadolores.martinez;952250;mariadolores.martinez@email.net;5/10/1961;58;No aplica;SI;20;83;0;Inactivo;
430;Ramón;Fernández;Garmendia;H;rfernandez;954472;rfernandez@mail.com;13/04/1981;38;944,29;No aplica;29;97;3;Inactivo;
431;Jesús;Andrés;Rodríguez;H;jandres;956694;jandres@email.es;22/02/1935;84;580,28;No aplica;58;93;9;Disponible;
432;Yolanda;Sánchez;Núñez;M;yolsanchez;958916;yolsanchez@mail.es;18/11/1986;32;No aplica;SI;57;90;8;Inactivo;
433;Laura;López;Martínez;M;lauralopez;961138;lauralopez@email.com;23/09/1945;74;No aplica;SI;96;34;3;Inactivo;
434;María �?ngeles;Guerrero;Fernández;M;mariaangelesguerrero8;963360;mariaangelesguerrero8@correo.net;29/11/2001;17;No aplica;NO;39;94;5;Inactivo;
435;Ana María;Sanz;Recio;M;anasanz77;965582;anasanz77@correo.es;27/11/1941;77;No aplica;SI;48;21;1;Inactivo;
436;María;Calero;Bernal;M;marcalero;967804;marcalero@mail.es;23/03/1971;48;No aplica;NO;100;32;5;Inactivo;
437;Diego;Rodríguez;Sanz;H;drodriguez;970026;drodriguez@mail.com;18/12/1991;27;253,88;No aplica;86;35;4;Inactivo;
438;Teresa;Luque;Maza;M;tluque;972248;tluque@mail.com;14/06/1940;79;No aplica;SI;59;38;5;Inactivo;
439;Laura;Pereira;Gómez;M;pereira53;974470;pereira53@correo.es;25/11/1980;38;No aplica;NO;40;60;3;Disponible;
440;Antonio;Salvador;Rodríguez;H;salvador97;976692;salvador97@correo.net;20/12/1992;26;79,16;No aplica;81;37;5;Inactivo;
441;Ana;Fernández;Moral;M;anafernandez;978914;anafernandez@email.es;11/12/1980;38;No aplica;NO;70;64;5;Inactivo;
442;Ana;�?lvarez;Campo;M;anaalvarez;981136;anaalvarez@correo.com;14/11/1950;68;No aplica;NO;93;67;10;Disponible;
443;Juana;Navarro;Gutiérrez;M;juanavarro;983358;juanavarro@mail.net;27/04/1986;33;No aplica;NO;80;41;1;Disponible;
444;Josefa;Rodríguez;Fernández;M;josefa.rodriguez;985580;josefa.rodriguez@mail.com;6/04/1971;48;No aplica;NO;12;18;0;Inactivo;
445;Elena;Rodríguez;Fernández;M;elerodriguez;987802;elerodriguez@correo.es;18/01/1981;38;No aplica;NO;20;32;1;Disponible;
446;Antonia;Blanco;Ayuso;M;antonia.blanco;990024;antonia.blanco@mail.com;27/09/1968;51;No aplica;NO;34;23;2;Inactivo;
447;Unai;Jurado;Rivera;H;unai.jurado;992246;unai.jurado@email.com;22/02/1964;55;718,21;No aplica;70;61;1;Disponible;
448;Pablo;Gutiérrez;Camarasa;H;pgutierrez;994468;pgutierrez@correo.es;2/10/1937;82;69,94;No aplica;46;22;1;Inactivo;
449;Luis;Roldan;Martin;H;lroldan95;996690;lroldan95@email.com;1/06/1988;31;363,36;No aplica;70;96;10;Disponible;
450;Juan José;Martin;Fernández;H;juamartin;998912;juamartin@correo.net;13/01/1982;37;260,89;No aplica;22;23;1;Inactivo;
451;José;Albaladejo;Ferrando;H;josalbaladejo;1001134;josalbaladejo@mail.es;28/04/1959;60;384,05;No aplica;84;23;2;Inactivo;
452;Antonio;Arrebola;Bermejo;H;arrebola69;1003356;arrebola69@email.net;31/10/1941;77;929,98;No aplica;19;67;3;Disponible;
453;Alicia;Berlanga;Díaz;M;alicia.berlanga;1005578;alicia.berlanga@correo.com;24/01/1952;67;No aplica;SI;83;98;0;Disponible;
454;Carlos;Ariza;Martínez;H;carlos.ariza;1007800;carlos.ariza@email.es;23/06/1997;22;782,64;No aplica;49;69;2;Inactivo;
455;José;Martínez;Torres;H;josemartinez35;1010022;josemartinez35@email.com;27/12/1970;48;395,32;No aplica;10;61;0;Inactivo;
456;María;Sanz;Ortega;M;mariasanz23;1012244;mariasanz23@mail.com;22/06/1968;51;No aplica;SI;84;30;1;Disponible;
457;Antonia;Diez;Ruiz;M;antoniadiez;1014466;antoniadiez@correo.es;29/08/1957;62;No aplica;NO;60;41;3;Disponible;
458;María Pilar;Pérez;�?lvarez;M;mperez;1016688;mperez@email.com;2/10/1950;69;No aplica;SI;84;92;0;Disponible;
459;Manuel;Olivera;Catalán;H;molivera;1018910;molivera@mail.com;15/10/1945;74;828,71;No aplica;43;79;2;Inactivo;
460;�?ngel;Santana;Pitarch;H;asantana;1021132;asantana@correo.net;6/08/1993;26;720,12;No aplica;53;93;5;Inactivo;
461;Manuel;Saavedra;Ortega;H;manuelsaavedra61;1023354;manuelsaavedra61@mail.net;17/07/1979;40;289,95;No aplica;16;27;0;Inactivo;
462;Miguel;Ivanova;Hurtado;H;ivanova85;1025576;ivanova85@email.com;25/08/1959;60;309,26;No aplica;80;47;7;Disponible;
463;María Dolores;González;Verde;M;gonzalez11;1027798;gonzalez11@mail.es;28/02/1944;75;No aplica;NO;47;89;3;Disponible;
464;Rocío;Del Valle;Ribera;M;r.de;1030020;r.de@mail.net;25/02/1985;34;No aplica;SI;73;99;0;Inactivo;
465;Carlos;Carrasco;Da Silva;H;carloscarrasco;1032242;carloscarrasco@email.net;26/08/1980;39;874,98;No aplica;53;92;1;Inactivo;
466;Juan Carlos;Galindo;Santana;H;juagalindo;1034464;juagalindo@correo.net;13/12/2001;17;717,09;No aplica;35;59;3;Disponible;
467;Ariel;Mendoza;Jolez;H;Ari123;12345;arielcito@hotmail.com;2/Febrero/1904;117;123;No aplica;0;0;0;Disponible;103
468;Miguel ;Gonzalez ;Vargas;H;Alias;Alias1;lomilito@hotmail.com;26/Mes/A�o;26;1000000;No aplica;0;0;0;Disponible;170
